VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1641237923120	-0.0959491	6.86264e-08	0.418915	3.57673e-07	0.0219619	-8.01084e-09	0.999759	img_Drone1_3_0_1641237923250334000.png;img_Drone1_3_7_1641237923250473000.png
Drone2	1641237923120	0.0959491	1.76926e-12	0.418915	0.999759	-1.56766e-10	-0.0219619	-1.30768e-10	
Drone3	1641237923120	0.0959491	1.76926e-12	0.418915	0.999759	-1.56766e-10	-0.0219619	-1.30768e-10	
Drone4	1641237923120	0.0959491	1.76926e-12	0.418915	0.999759	-1.56766e-10	-0.0219619	-1.30768e-10	
Drone1	1641237923462	-0.1949	1.39525e-07	2.02375	3.57818e-07	0.0021785	-1.15641e-09	0.999998	img_Drone1_3_0_1641237923593411000.png;img_Drone1_3_7_1641237923594106000.png
Drone2	1641237923462	0.1949	-1.22274e-10	2.02375	0.999998	-3.77436e-10	-0.0021785	-1.91201e-10	
Drone3	1641237923462	0.1949	-1.22274e-10	2.02375	0.999998	-3.77436e-10	-0.0021785	-1.91201e-10	
Drone4	1641237923462	0.1949	-1.22274e-10	2.02375	0.999998	-3.77436e-10	-0.0021785	-1.91201e-10	
Drone1	1641237923936	-0.336952	2.42205e-07	5.082	3.57943e-07	8.85714e-05	-7.17066e-10	1	img_Drone1_3_0_1641237924086419000.png;img_Drone1_3_7_1641237924087089000.png
Drone2	1641237923936	0.336952	-1.19853e-09	5.082	1	-6.85511e-10	-8.85714e-05	-3.15198e-10	
Drone3	1641237923936	0.336952	-1.19853e-09	5.082	1	-6.85511e-10	-8.85714e-05	-3.15198e-10	
Drone4	1641237923936	0.336952	-1.19853e-09	5.082	1	-6.85511e-10	-8.85714e-05	-3.15198e-10	
Drone1	1641237924416	-0.481277	3.48981e-07	8.66198	3.5809e-07	3.4616e-06	-9.98977e-10	1	img_Drone1_3_0_1641237924587063000.png;img_Drone1_3_7_1641237924587755000.png
Drone2	1641237924416	0.481277	-4.74616e-09	8.66198	1	-9.97859e-10	-3.4616e-06	-4.62582e-10	
Drone3	1641237924416	0.481277	-4.74616e-09	8.66198	1	-9.97859e-10	-3.4616e-06	-4.62582e-10	
Drone4	1641237924416	0.481277	-4.74616e-09	8.66198	1	-9.97859e-10	-3.4616e-06	-4.62582e-10	
Drone1	1641237925115	-0.691253	5.12173e-07	14.1805	3.58227e-07	9.97636e-08	-1.45267e-09	1	img_Drone1_3_0_1641237925362502000.png;img_Drone1_3_7_1641237925363196000.png
Drone2	1641237925115	0.691253	-1.77535e-08	14.1805	1	-1.45275e-09	-9.97636e-08	-5.99439e-10	
Drone3	1641237925118	0.691253	-1.77535e-08	14.1805	1	-1.45275e-09	-9.97636e-08	-5.99439e-10	
Drone4	1641237925118	0.691253	-1.77535e-08	14.1805	1	-1.45275e-09	-9.97636e-08	-5.99439e-10	
Drone1	1641237925433	-0.771664	5.78165e-07	16.3296	3.13916e-07	0	0	1	img_Drone1_3_0_1641237925680894000.png;img_Drone1_3_7_1641237925681631000.png
Drone2	1641237925433	0.751809	-2.38419e-08	15.798	1	0	0	-6.3776e-10	
Drone3	1641237925433	0.759164	0	15.9949	1	0	0	-6.41113e-10	
Drone4	1641237925433	0.786684	-2.79034e-08	16.732	1	-1.6597e-09	-9.49614e-08	-6.50214e-10	
Drone1	1641237925901	-0.771664	5.78165e-07	16.3296	3.13916e-07	0	0	1	img_Drone1_3_0_1641237926155460000.png;img_Drone1_3_7_1641237926155711000.png
Drone4	1641237925901	0.799468	0	17.0748	1	0	0	-6.63626e-10	
Drone1	1641238445143	-0.600865	3.94566e-07	-0.398511	3.58568e-07	-0.075012	5.05164e-08	0.997183	img_Drone1_3_0_1641238455960072000.png;img_Drone1_3_7_1641238455960751000.png
Drone2	1641238445143	0.220824	-2.11261e-10	2.52788	0.999999	-4.33893e-10	-0.00121024	-2.13592e-10	
Drone3	1641238445143	0.220824	-2.11261e-10	2.52788	0.999999	-4.33893e-10	-0.00121024	-2.13592e-10	
Drone4	1641238445143	0.220824	-2.11261e-10	2.52788	0.999999	-4.33893e-10	-0.00121024	-2.13592e-10	
Drone1	1641238445752	-0.587987	2.11897e-07	-0.547959	3.61242e-07	0.0021258	3.04151e-09	0.999998	img_Drone1_3_0_1641238456696413000.png;img_Drone1_3_7_1641238456697168000.png
Drone2	1641238445752	0.403708	-2.43071e-09	6.70077	1	-8.29964e-10	-1.97597e-05	-3.85707e-10	
Drone3	1641238445752	0.403708	-2.43071e-09	6.70077	1	-8.29964e-10	-1.97597e-05	-3.85707e-10	
