VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1641263019850	0	0	0.566517	1	-0	0	0	img_Drone1_3_0_1641263019936396000.png;img_Drone1_3_7_1641263019936514000.png
Drone1	1641263020198	0	0	2.1254	1	-0	0	0	img_Drone1_3_0_1641263020287109000.png;img_Drone1_3_7_1641263020287826000.png
Drone1	1641263020702	0	0	5.34437	1	-0	0	0	img_Drone1_3_0_1641263020794080000.png;img_Drone1_3_7_1641263020794799000.png
Drone1	1641263021200	0	0	9.06129	1	-0	0	0	img_Drone1_3_0_1641263021296681000.png;img_Drone1_3_7_1641263021297411000.png
Drone1	1641263021704	0	0	13.0267	1	-0	0	0	img_Drone1_3_0_1641263021806542000.png;img_Drone1_3_7_1641263021807270000.png
Drone1	1641263022208	0	0	16.304	1	0	0	0	img_Drone1_3_0_1641263022317624000.png;img_Drone1_3_7_1641263022318448000.png
Drone1	1641263022697	0	0	16.304	1	0	0	0	img_Drone1_3_0_1641263022809091000.png;img_Drone1_3_7_1641263022809669000.png
Drone1	1641263026705	0	0	1.77632	1	-0	0	0	img_Drone1_3_0_1641263027148805000.png;img_Drone1_3_7_1641263027149562000.png
Drone1	1641263027302	0	0	5.53656	1	-0	0	0	img_Drone1_3_0_1641263027770443000.png;img_Drone1_3_7_1641263027771154000.png
Drone1	1641263027752	0	0	8.89909	1	-0	0	0	img_Drone1_3_0_1641263028230052000.png;img_Drone1_3_7_1641263028230773000.png
Drone1	1641263028232	0	0	12.6686	1	-0	0	0	img_Drone1_3_0_1641263028712936000.png;img_Drone1_3_7_1641263028713694000.png
Drone1	1641263028709	0	0	16.4847	1	-0	0	0	img_Drone1_3_0_1641263029196837000.png;img_Drone1_3_7_1641263029197636000.png
Drone1	1641263029189	0	0	16.304	1	0	0	0	img_Drone1_3_0_1641263029680946000.png;img_Drone1_3_7_1641263029681524000.png
Drone1	1641263087876	0	0	0.526666	1	-0	0	0	img_Drone1_3_0_1641263089178429000.png;img_Drone1_3_7_1641263089179151000.png
Drone1	1641263088395	0	0	3.04783	1	-0	0	0	img_Drone1_3_0_1641263089694399000.png;img_Drone1_3_7_1641263089697310000.png
Drone1	1641263088908	0	0	6.56132	1	-0	0	0	img_Drone1_3_0_1641263090212727000.png;img_Drone1_3_7_1641263090213451000.png
Drone1	1641263089370	0	0	10.0878	1	-0	0	0	img_Drone1_3_0_1641263090672354000.png;img_Drone1_3_7_1641263090673089000.png
Drone1	1641263089898	0	0	14.2717	1	-0	0	0	img_Drone1_3_0_1641263091200921000.png;img_Drone1_3_7_1641263091201674000.png
Drone1	1641263090342	0	0	16.3038	1	0	0	0	img_Drone1_3_0_1641263091645099000.png;img_Drone1_3_7_1641263091645836000.png
Drone1	1641263090862	0	0	16.3038	1	0	0	0	img_Drone1_3_0_1641263092164764000.png;img_Drone1_3_7_1641263092165908000.png
Drone1	1641263097366	0	0	0.576642	1	-0	0	0	img_Drone1_3_0_1641263098758138000.png;img_Drone1_3_7_1641263098758852000.png
Drone1	1641263097924	0	0	3.3838	1	-0	0	0	img_Drone1_3_0_1641263099317018000.png;img_Drone1_3_7_1641263099317729000.png
Drone1	1641263098431	0	0	6.91722	1	-0	0	0	img_Drone1_3_0_1641263099829152000.png;img_Drone1_3_7_1641263099830295000.png
Drone1	1641263098884	0	0	10.3931	1	-0	0	0	img_Drone1_3_0_1641263100287096000.png;img_Drone1_3_7_1641263100287840000.png
Drone1	1641263099421	0	0	14.6558	1	-0	0	0	img_Drone1_3_0_1641263100824122000.png;img_Drone1_3_7_1641263100824889000.png
Drone1	1641263099916	0	0	16.3041	1	0	0	0	img_Drone1_3_0_1641263101344147000.png;img_Drone1_3_7_1641263101344906000.png
Drone1	1641263100405	0	0	16.3041	1	0	0	0	img_Drone1_3_0_1641263101840600000.png;img_Drone1_3_7_1641263101841166000.png
