VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1641263717432	0.12938	2.0471e-09	-0.0856516	0.999962	1.92267e-09	-0.00871538	-3.77374e-12	img_Drone1_3_0_1641263717522522000.png;img_Drone1_3_7_1641263717522642000.png
Drone1	1641263717783	0.277233	8.02951e-09	0.292984	1	2.44549e-07	-0.0008141	3.98264e-07	img_Drone1_3_0_1641263717872562000.png;img_Drone1_3_7_1641263717873293000.png
Drone1	1641263718317	0.506123	6.7048e-06	1.17228	1	4.24583e-06	-1.78496e-05	9.65371e-06	img_Drone1_3_0_1641263718407496000.png;img_Drone1_3_7_1641263718408253000.png
Drone1	1641263718812	0.718248	3.09943e-05	2.25413	1	4.35231e-06	3.57019e-06	2.11186e-05	img_Drone1_3_0_1641263718912647000.png;img_Drone1_3_7_1641263718913408000.png
Drone1	1641263719244	0.903127	6.78764e-05	3.35703	1	4.35915e-06	4.31765e-06	3.14235e-05	img_Drone1_3_0_1641263719343584000.png;img_Drone1_3_7_1641263719344270000.png
Drone1	1641263719778	0.944371	7.81518e-05	3.61934	1	0	0	3.45831e-05	img_Drone1_3_0_1641263719878286000.png;img_Drone1_3_7_1641263719878996000.png
Drone1	1641263720810	0.00632885	0	0.395128	0.985055	0	-0.172238	0	img_Drone1_3_0_1641263721019305000.png;img_Drone1_3_7_1641263721020089000.png
Drone1	1641263721269	0.127561	0	2.80553	0.985055	0	-0.172238	0	img_Drone1_3_0_1641263721479853000.png;img_Drone1_3_7_1641263721480654000.png
Drone1	1641263721767	0.19015	0	3.48676	1	0	0	0	img_Drone1_3_0_1641263721979735000.png;img_Drone1_3_7_1641263721980262000.png
Drone1	1641263723817	0.103685	2.09404e-10	-0.252145	0.99996	4.71833e-10	0.00896707	-3.21046e-10	img_Drone1_3_0_1641263724080342000.png;img_Drone1_3_7_1641263724081105000.png
Drone1	1641263724294	0.235679	2.62186e-09	-0.265046	0.999563	1.18125e-09	0.0295578	3.49716e-10	img_Drone1_3_0_1641263724584798000.png;img_Drone1_3_7_1641263724585546000.png
Drone1	1641263724861	0.236251	1.31301e-08	-0.454985	1	2.00939e-09	-0.000540596	7.91621e-10	img_Drone1_3_0_1641263725154243000.png;img_Drone1_3_7_1641263725154984000.png
Drone1	1641263725512	0.197265	4.25967e-08	-1.10158	0.999983	2.94323e-09	-0.00589802	4.14012e-09	img_Drone1_3_0_1641263725816411000.png;img_Drone1_3_7_1641263725817829000.png
Drone1	1641263726025	0.199156	8.27583e-08	-1.61123	0.999994	3.65883e-09	-0.00339269	6.69461e-09	img_Drone1_3_0_1641263726334400000.png;img_Drone1_3_7_1641263726335222000.png
Drone1	1641263726325	0.209308	1.14807e-07	-1.90938	0.999998	4.07401e-09	-0.00179533	7.7866e-09	img_Drone1_3_0_1641263726695576000.png;img_Drone1_3_7_1641263726696316000.png
Drone1	1641263726868	0.23417	1.9164e-07	-2.44969	1	4.82155e-09	0.000544747	1.00461e-08	img_Drone1_3_0_1641263727243591000.png;img_Drone1_3_7_1641263727244339000.png
Drone1	1641263727366	0.254945	2.86478e-07	-2.94585	0.999999	5.50886e-09	0.00173339	1.10674e-08	img_Drone1_3_0_1641263727748566000.png;img_Drone1_3_7_1641263727749690000.png
Drone1	1641263727816	0.266893	3.9504e-07	-3.39434	0.999998	6.13913e-09	0.00195527	1.19819e-08	img_Drone1_3_0_1641263728222135000.png;img_Drone1_3_7_1641263728222835000.png
Drone1	1641263728377	0.271342	5.64675e-07	-3.95339	0.999999	6.9355e-09	0.00139014	1.28802e-08	img_Drone1_3_0_1641263728786415000.png;img_Drone1_3_7_1641263728787242000.png
Drone1	1641263729076	0.265658	8.3633e-07	-4.64991	1	7.93405e-09	0.00030679	1.47102e-08	img_Drone1_3_0_1641263729490869000.png;img_Drone1_3_7_1641263729492002000.png
Drone1	1641263729385	0.261573	9.80052e-07	-4.95786	1	8.37599e-09	-8.52536e-05	1.64628e-08	img_Drone1_3_0_1641263729805869000.png;img_Drone1_3_7_1641263729806592000.png
Drone1	1641263730219	0.252598	1.24545e-06	-5.78909	1	-1.08785e-07	-0.000564184	2.09093e-08	img_Drone1_3_0_1641263730658837000.png;img_Drone1_3_7_1641263730666574000.png
