VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1641263248557	0.040479	6.80548e-12	0.383882	0.999941	5.16369e-11	-0.0108918	-2.91111e-11	img_Drone1_3_0_1641263248659834000.png;img_Drone1_3_7_1641263248659948000.png
Drone1	1641263248923	0.0881762	5.42053e-11	2.02317	1	9.74416e-11	-0.000918614	-6.4333e-11	img_Drone1_3_0_1641263249023888000.png;img_Drone1_3_7_1641263249024670000.png
Drone1	1641263249391	0.122227	0	3.54584	1	0	0	-1.04826e-10	img_Drone1_3_0_1641263249492949000.png;img_Drone1_3_7_1641263249493591000.png
Drone1	1641263249889	0.122227	0	3.54584	1	0	0	-1.04826e-10	img_Drone1_3_0_1641263249990851000.png;img_Drone1_3_7_1641263249991363000.png
Drone1	1641263255037	0.122654	3.11129e-10	-0.252833	0.999884	5.36048e-10	0.0152651	3.37021e-10	img_Drone1_3_0_1641263255276320000.png;img_Drone1_3_7_1641263255277394000.png
Drone1	1641263255427	0.229984	2.19514e-09	-0.264077	0.999559	1.02216e-09	0.0297022	1.71377e-09	img_Drone1_3_0_1641263255678024000.png;img_Drone1_3_7_1641263255678786000.png
Drone1	1641263256057	0.23321	1.26053e-08	-0.463921	0.999999	1.92251e-09	-0.00133755	4.35413e-09	img_Drone1_3_0_1641263256318244000.png;img_Drone1_3_7_1641263256318996000.png
Drone1	1641263256489	0.20083	2.87948e-08	-0.892947	0.999978	2.57291e-09	-0.00667262	8.39459e-09	img_Drone1_3_0_1641263256786627000.png;img_Drone1_3_7_1641263256787383000.png
Drone1	1641263257176	0.194765	7.52048e-08	-1.57543	0.999993	3.53719e-09	-0.00374643	1.34633e-08	img_Drone1_3_0_1641263257488194000.png;img_Drone1_3_7_1641263257488929000.png
Drone1	1641263257689	0.214719	1.31005e-07	-2.08526	1	4.23333e-09	-0.000953152	1.71089e-08	img_Drone1_3_0_1641263258011118000.png;img_Drone1_3_7_1641263258011992000.png
Drone1	1641263258211	0.240433	2.10307e-07	-2.6049	0.999999	4.94157e-09	0.00109563	1.99978e-08	img_Drone1_3_0_1641263258538075000.png;img_Drone1_3_7_1641263258538883000.png
Drone1	1641263258670	0.258884	3.01639e-07	-3.06229	0.999998	5.57641e-09	0.00197692	2.35853e-08	img_Drone1_3_0_1641263258999884000.png;img_Drone1_3_7_1641263259001716000.png
Drone1	1641263259192	0.270278	4.33417e-07	-3.58253	0.999998	6.31769e-09	0.00194196	2.69068e-08	img_Drone1_3_0_1641263259526962000.png;img_Drone1_3_7_1641263259527730000.png
Drone1	1641263259598	0.272015	5.58514e-07	-3.9861	0.999999	6.9084e-09	0.00141228	2.98543e-08	img_Drone1_3_0_1641263259937200000.png;img_Drone1_3_7_1641263259937963000.png
Drone1	1641263260099	0.268141	7.44031e-07	-4.48531	1	7.65125e-09	0.000578027	3.42906e-08	img_Drone1_3_0_1641263260446470000.png;img_Drone1_3_7_1641263260447409000.png
Drone1	1641263260726	0.259596	1.02955e-06	-5.11016	1	8.58063e-09	-0.00025414	3.80519e-08	img_Drone1_3_0_1641263261083175000.png;img_Drone1_3_7_1641263261083901000.png
Drone1	1641263261209	0.253909	1.259e-06	-5.59156	1	-9.59125e-08	-0.00055883	3.79645e-08	img_Drone1_3_0_1641263261572377000.png;img_Drone1_3_7_1641263261573096000.png
Drone1	1641263261659	0.250798	1.16164e-06	-6.04009	1	-1.13803e-07	-0.000580296	3.87856e-08	img_Drone1_3_0_1641263262028215000.png;img_Drone1_3_7_1641263262028936000.png
Drone1	1641263262112	0.249938	6.40095e-07	-6.49156	1	-7.89606e-08	-0.000428844	4.5009e-08	img_Drone1_3_0_1641263262487692000.png;img_Drone1_3_7_1641263262488421000.png
Drone1	1641263262844	0.251791	-5.04529e-07	-7.22107	1	9.96145e-08	-8.03974e-05	5.96286e-08	img_Drone1_3_0_1641263263221763000.png;img_Drone1_3_7_1641263263233727000.png
Drone1	1641263263441	0.254159	-8.22243e-07	-7.81609	1	7.62413e-08	0.000116023	7.52315e-08	img_Drone1_3_0_1641263263855216000.png;img_Drone1_3_7_1641263263856188000.png
Drone1	1641263263771	0.255206	-7.59981e-07	-8.14499	1	4.66525e-08	0.000164319	8.5078e-08	img_Drone1_3_0_1641263264245907000.png;img_Drone1_3_7_1641263264246671000.png
Drone1	1641263264425	0.256248	-3.78317e-07	-8.79676	1	1.18372e-09	0.000151236	1.05728e-07	img_Drone1_3_0_1641263264942516000.png;img_Drone1_3_7_1641263264944332000.png
Drone1	1641263264881	0.256217	-5.88345e-08	-9.25121	1	3.77064e-09	9.31474e-05	1.21989e-07	img_Drone1_3_0_1641263265487411000.png;img_Drone1_3_7_1641263265488195000.png
Drone1	1641263265511	0.252125	0.00371573	-9.6036	0.985964	0.119499	0.116596	-0.000798511	img_Drone1_3_0_1641263266161379000.png;img_Drone1_3_7_1641263266162111000.png
Drone1	1641263265937	-0.364772	0.557576	-9.91253	0.943228	0.179803	0.278937	0.0136078	img_Drone1_3_0_1641263266634990000.png;img_Drone1_3_7_1641263266637994000.png
Drone1	1641263266351	-2.16969	1.89045	-10.3925	0.957838	0.11783	0.260466	0.02862	img_Drone1_3_0_1641263267044666000.png;img_Drone1_3_7_1641263267050802000.png
Drone1	1641263267059	-6.39106	4.66834	-9.60312	0.99145	0.0571559	0.113935	0.0279118	img_Drone1_3_0_1641263267764954000.png;img_Drone1_3_7_1641263267765667000.png
Drone1	1641263267506	-9.58284	6.65882	-8.81621	0.996811	0.0401912	0.0634821	0.0268917	img_Drone1_3_0_1641263268212596000.png;img_Drone1_3_7_1641263268213272000.png
Drone1	1641263268091	-14.0522	9.45501	-7.9469	0.998632	0.031171	0.0327963	0.0261921	img_Drone1_3_0_1641263268807354000.png;img_Drone1_3_7_1641263268808033000.png
Drone1	1641263268478	-17.0814	11.3911	-7.45915	0.999002	0.0271334	0.0240891	0.0260446	img_Drone1_3_0_1641263269196741000.png;img_Drone1_3_7_1641263269201085000.png
Drone1	1641263268904	-20.4361	13.5803	-6.96521	0.999203	0.022296	0.0204349	0.0260578	img_Drone1_3_0_1641263269667328000.png;img_Drone1_3_7_1641263269668292000.png
Drone1	1641263269522	-25.3122	16.8246	-6.28629	0.99933	0.015162	0.0205713	0.026204	img_Drone1_3_0_1641263270295392000.png;img_Drone1_3_7_1641263270296288000.png
Drone1	1641263270134	-30.1497	20.0685	-5.63306	0.999358	0.0101735	0.0220865	0.0263304	img_Drone1_3_0_1641263270926498000.png;img_Drone1_3_7_1641263270927317000.png
Drone1	1641263270794	-35.3848	23.5592	-4.93731	0.999365	0.00845627	0.0224198	0.0263726	img_Drone1_3_0_1641263271582603000.png;img_Drone1_3_7_1641263271590474000.png
Drone1	1641263271421	-40.3763	26.8552	-4.27951	0.999378	0.00940396	0.0214563	0.0263437	img_Drone1_3_0_1641263272229419000.png;img_Drone1_3_7_1641263272230601000.png
Drone1	1641263271814	-43.5108	28.9138	-3.86797	0.999386	0.0104382	0.0206611	0.0263143	img_Drone1_3_0_1641263272642746000.png;img_Drone1_3_7_1641263272643557000.png
Drone1	1641263272345	-47.7482	31.6928	-3.31255	0.999391	0.011594	0.0198098	0.0262817	img_Drone1_3_0_1641263273201335000.png;img_Drone1_3_7_1641263273202137000.png
Drone1	1641263272945	-52.5344	34.8363	-2.68561	0.999393	0.0121028	0.0194268	0.0262672	img_Drone1_3_0_1641263273815427000.png;img_Drone1_3_7_1641263273816152000.png
Drone1	1641263273488	-56.8623	37.6871	-2.11857	0.999393	0.0119003	0.0195491	0.0262727	img_Drone1_3_0_1641263274361600000.png;img_Drone1_3_7_1641263274362375000.png
Drone1	1641263273860	-59.8256	39.6429	-1.73021	0.999392	0.0115785	0.0197637	0.0262816	img_Drone1_3_0_1641263274760988000.png;img_Drone1_3_7_1641263274761707000.png
Drone1	1641263274556	-65.3682	43.3047	-1.00375	0.999391	0.0110094	0.0201485	0.0262975	img_Drone1_3_0_1641263275483594000.png;img_Drone1_3_7_1641263275484334000.png
Drone1	1641263274970	-68.6654	45.4824	-0.571679	0.99939	0.0108344	0.0202674	0.0263023	img_Drone1_3_0_1641263275914503000.png;img_Drone1_3_7_1641263275915241000.png
Drone1	1641263275453	-72.5129	48.0219	-0.0676076	0.99939	0.0108131	0.0202818	0.0263029	img_Drone1_3_0_1641263276453841000.png;img_Drone1_3_7_1641263276454534000.png
Drone1	1641263275942	-76.4091	50.5914	0.442721	0.99939	0.0109242	0.0202067	0.0262999	img_Drone1_3_0_1641263276945830000.png;img_Drone1_3_7_1641263276946862000.png
Drone1	1641263276638	-81.9559	54.2474	1.16906	0.999391	0.0111267	0.0200699	0.0262944	img_Drone1_3_0_1641263277628922000.png;img_Drone1_3_7_1641263277646234000.png
Drone1	1641263277016	-84.9686	56.233	1.56356	0.999391	0.0112013	0.0200197	0.0262924	img_Drone1_3_0_1641263278024491000.png;img_Drone1_3_7_1641263278025234000.png
Drone1	1641263277718	-90.5623	59.9209	2.29617	0.999391	0.0112247	0.0200051	0.0262918	img_Drone1_3_0_1641263278730166000.png;img_Drone1_3_7_1641263278732267000.png
Drone1	1641263278222	-94.578	62.569	2.82209	0.999391	0.0111872	0.020032	0.0262929	img_Drone1_3_0_1641263279238184000.png;img_Drone1_3_7_1641263279239370000.png
Drone1	1641263278669	-98.1395	64.918	3.28855	0.999391	0.0111478	0.0200601	0.0262939	img_Drone1_3_0_1641263279693866000.png;img_Drone1_3_7_1641263279694582000.png
Drone1	1641263279041	-101.103	66.8725	3.67672	0.999391	0.011144	0.0200631	0.026294	img_Drone1_3_0_1641263280077346000.png;img_Drone1_3_7_1641263280078087000.png
Drone1	1641263279680	-106.195	70.2302	4.34351	0.999391	0.0111431	0.0200639	0.0262941	img_Drone1_3_0_1641263280765472000.png;img_Drone1_3_7_1641263280766266000.png
Drone1	1641263280352	-111.549	73.7616	5.04477	0.999391	0.0111053	0.020093	0.0262952	img_Drone1_3_0_1641263281461253000.png;img_Drone1_3_7_1641263281462073000.png
Drone1	1641263280838	-115.421	76.3151	5.5519	0.999391	0.0111258	0.0200803	0.0262949	img_Drone1_3_0_1641263281958532000.png;img_Drone1_3_7_1641263281965613000.png
Drone1	1641263281462	-120.393	79.5937	6.20303	0.999391	0.0111406	0.0200719	0.0262945	img_Drone1_3_0_1641263282600113000.png;img_Drone1_3_7_1641263282600858000.png
Drone1	1641263281915	-124.002	81.9738	6.67573	0.999391	0.0111471	0.0200687	0.0262944	img_Drone1_3_0_1641263283051462000.png;img_Drone1_3_7_1641263283052824000.png
Drone1	1641263282428	-128.09	84.6692	7.21104	0.999391	0.0111498	0.0200669	0.0262944	img_Drone1_3_0_1641263283584225000.png;img_Drone1_3_7_1641263283584987000.png
Drone1	1641263282815	-131.172	86.7025	7.61487	0.999391	0.0111274	0.0200839	0.0262951	img_Drone1_3_0_1641263284018215000.png;img_Drone1_3_7_1641263284018975000.png
Drone1	1641263283529	-136.859	90.4539	8.35981	0.99939	0.0110845	0.0201161	0.0262963	img_Drone1_3_0_1641263284783948000.png;img_Drone1_3_7_1641263284784787000.png
Drone1	1641263283964	-140.325	92.7395	8.81365	0.99939	0.0110768	0.0201228	0.0262966	img_Drone1_3_0_1641263285225213000.png;img_Drone1_3_7_1641263285225986000.png
Drone1	1641263284522	-144.772	95.6713	9.39591	0.999391	0.0111542	0.0200699	0.0262945	img_Drone1_3_0_1641263285808211000.png;img_Drone1_3_7_1641263285809068000.png
Drone1	1641263285032	-148.836	98.3509	9.92817	0.999391	0.0111901	0.0200468	0.0262935	img_Drone1_3_0_1641263286348740000.png;img_Drone1_3_7_1641263286349534000.png
Drone1	1641263285377	-151.584	100.164	10.2881	0.99939	0.0111528	0.0200743	0.0262946	img_Drone1_3_0_1641263286707979000.png;img_Drone1_3_7_1641263286708853000.png
Drone1	1641263286010	-156.626	103.489	10.9486	0.99939	0.0110988	0.0201133	0.0262961	img_Drone1_3_0_1641263287363014000.png;img_Drone1_3_7_1641263287370947000.png
Drone1	1641263286613	-161.43	106.658	11.5777	0.99939	0.0110986	0.0201147	0.0262962	img_Drone1_3_0_1641263287976903000.png;img_Drone1_3_7_1641263287981409000.png
Drone1	1641263287102	-165.327	109.227	12.088	0.99939	0.0111665	0.0200684	0.0262943	img_Drone1_3_0_1641263288498932000.png;img_Drone1_3_7_1641263288499725000.png
Drone1	1641263287750	-170.49	112.632	12.7642	0.99939	0.0111648	0.0200721	0.0262945	img_Drone1_3_0_1641263289155678000.png;img_Drone1_3_7_1641263289158820000.png
Drone1	1641263288110	-173.357	114.523	13.1398	0.99939	0.0111264	0.0200997	0.0262956	img_Drone1_3_0_1641263289523038000.png;img_Drone1_3_7_1641263289527803000.png
Drone1	1641263288806	-178.901	118.18	13.866	0.99939	0.0110854	0.0201298	0.0262968	img_Drone1_3_0_1641263290244764000.png;img_Drone1_3_7_1641263290249770000.png
Drone1	1641263289364	-183.348	121.112	14.4482	0.99939	0.0111462	0.0200884	0.0262951	img_Drone1_3_0_1641263290792727000.png;img_Drone1_3_7_1641263290807855000.png
Drone1	1641263289853	-187.245	123.681	14.9585	0.99939	0.0111955	0.0200556	0.0262938	img_Drone1_3_0_1641263291319061000.png;img_Drone1_3_7_1641263291330542000.png
Drone1	1641263290213	-190.113	125.572	15.3342	0.99939	0.0111618	0.0200807	0.0262947	img_Drone1_3_0_1641263291691053000.png;img_Drone1_3_7_1641263291696399000.png
Drone1	1641263290828	-195.011	128.804	15.9758	0.99939	0.0111076	0.0201198	0.0262962	img_Drone1_3_0_1641263292320508000.png;img_Drone1_3_7_1641263292326364000.png
Drone1	1641263291344	-199.122	131.515	16.5142	0.99939	0.011089	0.0201338	0.0262968	img_Drone1_3_0_1641263292872926000.png;img_Drone1_3_7_1641263292877615000.png
Drone1	1641263291803	-202.78	133.926	16.9931	0.99939	0.0111498	0.020092	0.026295	img_Drone1_3_0_1641263293365701000.png;img_Drone1_3_7_1641263293370851000.png
Drone1	1641263292271	-206.51	136.385	17.4815	0.99939	0.0111964	0.0200612	0.0262938	img_Drone1_3_0_1641263293855874000.png;img_Drone1_3_7_1641263293856517000.png
Drone1	1641263292925	-211.719	139.822	18.1639	0.99939	0.0111331	0.0201073	0.0262956	img_Drone1_3_0_1641263294523229000.png;img_Drone1_3_7_1641263294523939000.png
Drone1	1641263293318	-214.849	141.886	18.5739	0.99939	0.0111033	0.0201289	0.0262964	img_Drone1_3_0_1641263294918582000.png;img_Drone1_3_7_1641263294919763000.png
Drone1	1641263293921	-219.654	145.055	19.203	0.99939	0.0111103	0.0201255	0.0262963	img_Drone1_3_0_1641263295534325000.png;img_Drone1_3_7_1641263295535182000.png
Drone1	1641263294269	-222.427	146.883	19.5662	0.99939	0.0111603	0.0200914	0.0262948	img_Drone1_3_0_1641263295889529000.png;img_Drone1_3_7_1641263295890150000.png
Drone1	1641263294701	-225.87	149.153	20.0171	0.99939	0.0111987	0.0200662	0.0262938	img_Drone1_3_0_1641263296396255000.png;img_Drone1_3_7_1641263296396870000.png
Drone1	1641263295499	-232.226	153.346	20.8496	0.99939	0.0111218	0.0201221	0.026296	img_Drone1_3_0_1641263297246949000.png;img_Drone1_3_7_1641263297247611000.png
Drone1	1641263295802	-234.639	154.938	21.1658	0.99939	0.0111027	0.020136	0.0262965	img_Drone1_3_0_1641263297585954000.png;img_Drone1_3_7_1641263297586541000.png
Drone1	1641263296348	-238.99	157.806	21.7354	0.99939	0.0111112	0.0201313	0.0262964	img_Drone1_3_0_1641263298172000000.png;img_Drone1_3_7_1641263298173300000.png
Drone1	1641263296936	-243.676	160.896	22.3491	0.99939	0.0111889	0.0200788	0.0262942	img_Drone1_3_0_1641263298774482000.png;img_Drone1_3_7_1641263298775021000.png
Drone1	1641263297401	-247.38	163.339	22.8343	0.99939	0.0111792	0.0200872	0.0262946	img_Drone1_3_0_1641263299337135000.png;img_Drone1_3_7_1641263299337665000.png
Drone1	1641263298622	-257.106	169.754	24.1082	0.99939	0.0110897	0.0201524	0.0262971	img_Drone1_3_0_1641263300800512000.png;img_Drone1_3_7_1641263300801091000.png
Drone1	1641263299249	-262.1	173.049	24.7624	0.999389	0.0110765	0.0201633	0.0262974	img_Drone1_3_0_1641263301616334000.png;img_Drone1_3_7_1641263301616972000.png
Drone1	1641263299702	-265.708	175.429	25.235	0.999389	0.0110714	0.0201694	0.0262974	img_Drone1_3_0_1641263302140893000.png;img_Drone1_3_7_1641263302141515000.png
Drone1	1641263300359	-270.941	178.878	25.9204	0.99939	0.0111523	0.0201156	0.0262952	img_Drone1_3_0_1641263302873060000.png;img_Drone1_3_7_1641263302877813000.png
Drone1	1641263300977	-275.863	182.124	26.565	0.99939	0.0112291	0.0200638	0.0262931	img_Drone1_3_0_1641263303541001000.png;img_Drone1_3_7_1641263303541630000.png
Drone1	1641263301775	-282.22	186.316	27.3976	0.99939	0.0111274	0.0201356	0.0262959	img_Drone1_3_0_1641263304507893000.png;img_Drone1_3_7_1641263304508583000.png
Drone1	1641263302363	-286.903	189.406	28.011	0.999389	0.0110932	0.0201606	0.0262969	img_Drone1_3_0_1641263305145799000.png;img_Drone1_3_7_1641263305146437000.png
Drone1	1641263302984	-291.849	192.668	28.6588	0.999389	0.0110982	0.0201588	0.0262967	img_Drone1_3_0_1641263305824869000.png;img_Drone1_3_7_1641263305825531000.png
Drone1	1641263303512	-296.055	195.439	29.2095	0.99939	0.0112196	0.0200764	0.0262933	img_Drone1_3_0_1641263306361432000.png;img_Drone1_3_7_1641263306375621000.png
Drone1	1641263303908	-299.209	197.52	29.6226	0.99939	0.0112164	0.0200796	0.0262934	img_Drone1_3_0_1641263306847151000.png;img_Drone1_3_7_1641263306847880000.png
Drone1	1641263304454	-303.558	200.388	30.1922	0.999389	0.0111437	0.0201312	0.0262955	img_Drone1_3_0_1641263307501772000.png;img_Drone1_3_7_1641263307505153000.png
Drone1	1641263305096	-308.672	203.761	30.862	0.999389	0.0110998	0.020163	0.0262967	img_Drone1_3_0_1641263308146433000.png;img_Drone1_3_7_1641263308147186000.png
Drone1	1641263305843	-314.622	207.685	31.6412	0.999389	0.0111194	0.0201515	0.0262961	img_Drone1_3_0_1641263308892444000.png;img_Drone1_3_7_1641263308893332000.png
Drone1	1641263306417	-319.186	210.693	32.2388	0.99939	0.0112397	0.0200698	0.0262928	img_Drone1_3_0_1641263309472264000.png;img_Drone1_3_7_1641263309472954000.png
Drone1	1641263306891	-322.961	213.184	32.7332	0.999389	0.0111866	0.0201071	0.0262942	img_Drone1_3_0_1641263309947965000.png;img_Drone1_3_7_1641263309948772000.png
Drone1	1641263307422	-327.19	215.973	33.2871	0.999389	0.0111288	0.0201486	0.0262959	img_Drone1_3_0_1641263310482366000.png;img_Drone1_3_7_1641263310483585000.png
